id,sku,name,short_description,price,discount,all_time_quantity_sold,discount_rate,review_count,inventory_status
74021317,5977911599303,Cây Cam Ngọt Của Tôi,“Vị chua chát của cái nghèo hòa trộn với vị ngọt ngào khi khám phá ra những điều khiến cuộc đời này đáng số một tác phẩm kinh điển của Brazil.”- Booklist“Một cách nhìn cuộc sống gần như hoàn chỉnh t...,79100,28900,60433.0,27,12218,available
184466860,6027901073690,Hành Tinh Của Một Kẻ Nghĩ Nhiều,"“Đó là mùa hè năm 2020, mùa hè của COVID-19 và một ngàn vạn khủng hoảng tuổi đôi mươi. Đó là mùa hè mình bắt chuyến bay sớm nhất có thể vào ngày 20 tháng 3 để chạy khỏi nước Anh đang bùng dịch, bị kẹt...",59500,26500,13281.0,31,1355,available
189643105,7150413107642,Không Phải Sói Nhưng Cũng Đừng Là Cừu -Tặng kèm bookmark 2 mặt,"SÓI VÀ CỪU - BẠN KHÔNG TỐT NHƯ BẠN NGHĨ ĐÂU! Làn ranh của việc ngây thơ hay xấu xa đôi khi mỏng manh hơn bạn nghĩ. Bạn làm một việc mà mình cho là đúng, kết quả lại bị mọi người khiển trách. Bạn ủn...",88500,39500,8716.0,31,1054,available
207841114,1646492661143,Ghi Chép Pháp Y – Những Cái Chết Bí Ẩn,GHI CHÉP PHÁP Y - NHỮNG CÁI CHẾT BÍ ẨN – Làm cách nào để một “xác chết lên tiếng”? - đó là công việc của bác sĩ pháp y.“Ghi chép pháp y - Những cái chết bí ẩn” là cuốn sách nằm trong hệ liệt với “Ph...,105000,45000,3002.0,30,425,available
106863963,7417324116157,Tâm Lý Học - Phác Họa Chân Dung Kẻ Phạm Tội,"TÂM LÝ HỌC TỘI PHẠM - PHÁC HỌA CHÂN DUNG KẺ PHẠM TỘITội phạm, nhất là những vụ án mạng, luôn là một chủ đề thu hút sự quan tâm của công chúng, khơi gợi sự hiếu kỳ của bất cứ ai. Một khi đã bắt đầu th...",101000,44000,20181.0,30,5916,available
167940010,9924509394048,Thao Túng Tâm Lý,"Trong cuốn “Thao túng tâm lý”, tác giả Shannon Thomas giới thiệu đến độc giả những hiểu biết liên quan đến thao túng tâm lý và lạm dụng tiềm ẩn. “Thao túng tâm lý” là một dạng của lạm dụng tâm lý. Cũ...",100900,68100,11908.0,40,1126,available
3304875,2929303348245,Điều Kỳ Diệu Của Tiệm Tạp Hóa NAMIYA (Tái Bản),"Điều Kỳ Diệu Của Tiệm Tạp HóaMột đêm vội vã lẩn trốn sau phi vụ khoắng đồ nhà người, Atsuya, Shota và Kouhei đã rẽ vào lánh tạm trong một căn nhà hoang bên con dốc vắng người qua lại. Căn nhà có vẻ k...",70900,34100,27900.0,32,4134,available
109017985,8741635599269,"Thiên Tài Bên Trái, Kẻ Điên Bên Phải (Tái Bản)","NẾU MỘT NGÀY ANH THẤY TÔI ĐIÊN, THỰC RA CHÍNH LÀ ANH ĐIÊN ĐẤY!Hỡi những con người đang oằn mình trong cuộc sống, bạn biết gì về thế giới của mình? Là vô vàn thứ lý thuyết được các bậc vĩ nhân kiểm ch...",125000,54000,23293.0,30,5195,available
52789367,5279951395588,Nhà Giả Kim (Tái Bản 2020),"Sơ lược về tác phẩmTất cả những trải nghiệm trong chuyến phiêu du theo đuổi vận mệnh của mình đã giúp Santiago thấu hiểu được ý nghĩa sâu xa nhất của hạnh phúc, hòa hợp với vũ trụ và con người.Tiểu ...",59000,20000,27808.0,25,5428,available
75953557,4731802106183,Tâm Lý Học Về Tiền,"Tiền bạc có ở khắp mọi nơi, nó ảnh hưởng đến tất cả chúng ta, và khiến phần lớn chúng ta bối rối. Mọi người nghĩ về nó theo những cách hơi khác nhau một chút. Nó mang lại những bài học có thể được áp ...",112800,76200,21154.0,40,3215,available
209891492,1904872163261,Những Người Hàng Xóm - Nguyễn Nhật Ánh,"Câu chuyện đi theo lời kể của một anh chàng mới lấy vợ, chuẩn bị đi làm và có ý thích viết văn. Anh chàng yêu vợ theo cách của mình, khen ngợi sùng bái người yêu cũng theo cách của mình, nhưng nhìn cu...",77000,33000,2734.0,30,288,available
73787185,6372567555779,Những Tù Nhân Của Địa Lý,"“Khi chúng ta đang vươn tới những vì sao, chính bởi những thách thức đặt ra phía trước mà chúng ta có lẽ sẽ phải chung tay để ứng phó: du hành vào vũ trụ không phải với tư cách người Nga, người Trung ...",142000,68000,19434.0,32,3818,available
198414891,9747494391621,Hồ Sơ Tâm Lý Học Tâm Thần Hay Kẻ Điên,"HỒ SƠ TÂM LÝ HỌC - T M THẦN HAY KẺ ĐIÊN - Điều gì đang xảy ra trong thế giới của những kẻ tâm thần“Có lúc, chúng ta gọi bệnh tâm thần là bệnh cố chấp, các bệnh nhân đều cố chấp sống trong thế giới kì...",132000,57000,2013.0,30,295,available
199216988,6115196569908,Càng Bình Tĩnh Càng Hạnh Phúc,"Càng bình tĩnh Càng hạnh phúc Tiếp nối thành công rực rỡ của Bạn đắt giá bao nhiêu?, Khí chất bao nhiêu hạnh phúc bấy nhiêu, Không sợ chậm chỉ sợ dừng,… Vãn Tình đã quay trở lại cùng cuốn sách Càng b...",96800,42200,6216.0,30,539,available
15267827,4933955346595,Hoàng Tử Bé (Tái Bản 2019),"Hoàng tử bé được viết ở New York trong những ngày tác giả sống lưu vong và được xuất bản lần đầu tiên tại New York vào năm 1943, rồi đến năm 1946 mới được xuất bản tại Pháp. Không nghi ngờ gì, đây là ...",50000,25000,22459.0,33,3195,available
26114399,6851692325469,"Nóng Giận Là Bản Năng , Tĩnh Lặng Là Bản Lĩnh","Sai lầm lớn nhất của chúng ta là đem những tật xấu, những cảm xúc tiêu cực trút bỏ lên những người xung quanh, càng là người thân càng dễ gây thương tổn.Cái gì cũng nói toạc ra, cái gì cũng bộc lộ hế...",61800,27200,67730.0,31,6788,available
46240929,8755420465428,Rèn Luyện Tư Duy Phản Biện,"Như bạn có thể thấy, chìa khóa để trở thành một người có tư duy phản biện tốt chính là sự tự nhận thức. Bạn cần phải đánh giá trung thực những điều trước đây bạn nghĩ là đúng, cũng như quá trình suy n...",59100,39900,26814.0,40,4525,available
187827003,2245106018034,Không Diệt Không Sinh Đừng Sợ Hãi (TB5),"Nhiều người trong chúng ta tin rằng cuộc đời của ta bắt đầu từ lúc chào đời và kết thúc khi ta chết. Chúng ta tin rằng chúng ta tới từ cái Không, nên khi chết chúng ta cũng không còn lại gì hết. Và ch...",76500,33500,4740.0,30,273,available
117238177,5673157495853,Thư Viện Nửa Đêm,"Thắng hạng mục sách hư cấu của Goodreads.Được đưa vào danh sách tổng kết sách hay nhất năm của The Washington Post, Christian Science Monitor, New York Public Library, Boston Globe, Amazon, PureWow, ...",108000,42000,8414.0,28,1716,available
188940817,8460723711989,Vị Thần Của Những Quyết Định,"Không có gì là ngẫu nhiên. Mọi chuyện đều là tất nhiên.Một cuốn sách tâm linh giúp bạn giải quyết những vấn đề trong cuộc sống, công việc, tình cảm… Nếu bạn đang phân vân trước những lựa chọn, nếu b...",45100,38900,7441.0,46,936,available
42230121,3098193178849,Sách Hiểu Về Trái Tim (Tái Bản 2019) - Minh Niệm,"Hiểu Về Trái Tim – Cuốn Sách Mở Cửa Thề Giới Cảm Xúc Của Mỗi NgườiXuất bản lần đầu tiên vào năm 2011, Hiểu Về Trái Tim trình làng cũng lúc với kỷ lục: cuốn sách có số lượng in lần đầu lớn nhất: 100....",130500,27500,413.0,17,31,available
206840682,9725373677700,Quyền Lực Của Địa Lý - The Power Of Geography,"Tim Marshall đã nhận xét rất xác đáng rằng: ""Các đế chế nổi lên rồi suy tàn. Các liên minh hình thành rồi tan rã. Thời kỳ hòa bình ở châu Âu sau các cuộc chiến của Napoleon kéo dài khoảng sáu mươi năm...",210000,70000,2418.0,25,187,available
147920903,1967959392540,Một Thoáng Ta Rực Rỡ Ở Nhân Gian,"“Vuong thực sự có thiên tài quan sát.” The New York Times“Với một xuất thân bên rìa hết sức xa lạ, Vuong đã viết nên một tác phẩm trữ tình về quá trình tự khám phá chính mình, vừa thành thật đến choá...",99400,35600,11564.0,26,1795,available
69764541,9554778221279,Tâm Lý Học Hành Vi (Tặng Kèm 1 Bookmark ),Tâm Lý Học Hành ViCuốn sách giúp bạn thấu hiểu bản thân mình và tâm lý những người xung quanh!Được chấp bút bởi bậc thầy tâm lý hàng đầu Trung Quốc Khương Nguy.Tâm lý học theo chủ nghĩa hành vi phát...,68100,29900,14717.0,31,2667,available
3954355,3044489264000,Yêu Những Điều Không Hoàn Hảo,"Yêu Những Điều Không Hoàn HảoĐại đức Hae Min sinh ra và lớn lên tại Hàn Quốc. Sau khi hoàn thành bằng Thạc sĩ Tôn giáo học đối chiếu ở Đại học Havard và Tiến sĩ Tôn giáo học ở Đại học Princeton, ông ...",94000,45000,35138.0,32,3590,available
121635152,4626380643723,Không Ai Có Thể Làm Bạn Tổn Thương Trừ Khi Bạn Cho Phép (Tặng Kèm 1 Bộ Bookmark Gồm 4 Cái),"KHÔNG AI CÓ THỂ LÀM BẠN TỔN THƯƠNG TRỪ KHI BẠN CHO PHÉP – YOO EUN JUNGChúng ta vẫn thường nghĩ mình sẽ chỉ hạnh phúc khi ở bên cạnh ai đó và nhận được yêu thương từ họ. Nhưng thực chất, hạnh phúc đơn...",82800,36200,9522.0,30,1581,available
204078065,8998273587192,Thuật Thao Túng - Góc Tối Ẩn Sau Mỗi Câu Nói,Bạn có muốn giành phần thắng cuối cùng trong các cuộc tranh luận?Bạn có muốn dẹp đi bộ mặt kiêu ngạo của các đồng nghiệp xung quanh mình?Bạn có muốn chứng minh rằng bạn đã đúng về mọi thứ?Đây là qu...,95800,43200,2223.0,31,179,available
71345381,2019473448712,Sách Thay Đổi Cuộc Sống Với Nhân Số Học - Lê Đỗ Quỳnh Hương,Thay Đổi Cuộc Sống Với Nhân Số HọcCuốn sách Thay đổi cuộc sống với Nhân số học là tác phẩm được chị Lê Đỗ Quỳnh Hương phát triển từ tác phẩm gốc “The Complete Book of Numerology” của tiến sỹ David A....,171000,77000,26769.0,31,4870,available
4780917,3342656016576,Người Đua Diều (Tái Bản 2018),"Người Đua Diều (Tái Bản 2018)Câu chuyện là lời tự thuật của nhà văn người Mỹ gốc Afghanistan Amir về những năm tháng tuổi thơ đầy niềm vui cũng như lỗi lầm, về những ngày trôi dạt trên đất khách rồi ...",77100,31900,17385.0,29,2242,available
1476937,7750936862328,Dám Bị Ghét,Dám Bị GhétCác mối quan hệ xã hội thật mệt mỏi.Cuộc sống sao mà nhạt nhẽo và vô nghĩa.Bản thân mình xấu xí và kém cỏi.Quá khứ đầy buồn đau còn tương lai thì mờ mịt.Yêu cầu của người khác thật khắ...,66700,29300,47137.0,31,3609,available
117254517,7127356302308,Đại Dương Đen - Những Câu Chuyện Từ Thế Giới Của Trầm Cảm,"“Tôi sợ những cơn của mình, chúng xâm chiếm não bộ tôi, nhấn chìm lý trí của tôi, chúng phơi bày sự đau đớn, cô đơn, nỗi sầu thảm suốt những năm tháng niên thiếu của tôi, sự ám ảnh của bạo lực, của lẻ...",170000,70000,10821.0,29,2162,available
207841170,2406323860067,Thế Giới Otome Game Thật Khắc Nghiệt Với Nhân Vật Quần Chúng (Tập 6),Quà tặng bản thường - 01 postcard hai mặt - 01 bookmark Quà tặng bản đặc biệt - 01 lịch 2020 khổ A2 (để ngoài sách) - 01 khung tranh mica (để ngoài sách) - 01 postcard hai mặt - 01 bookmark Thế Gi...,105000,34000,1202.0,24,248,available
52788072,9010512370783,Chiến Binh Cầu Vồng (Tái Bản 2020),"Chiến Binh Cầu Vồng (Tái Bản 2020)Một tác phẩm có tầm ảnh hưởng sâu rộng nhất Indonesia“Thầy Harfan và cô Mus nghèo khổ đã mang đến cho tôi tuổi thơ đẹp nhất, tình bạn đẹp nhất, và tâm hồn phong phú,...",78600,30400,18350.0,28,3162,available
143217512,4078428870578,Điềm Tĩnh Và Nóng Giận,"Trong cuộc sống thường ngày, chúng ta thường nổi giận vì nhiều nguyên do: công việc không suôn sẻ, chúng ta tức giận; bị người khác hiểu nhầm, chúng ta tức giận; thấy việc chướng tai gai mắt, chúng ta...",66700,29300,8534.0,31,950,available
54266567,6455629494886,Sách Nghĩ Giàu Và Làm Giàu (Bìa Mềm),"""Think and Grow Rich –Nghĩ giàu và Làm giàu là một trong những cuốn sách bán chạy nhất mọi thời đại. Đã hơn 60 triệu bản được phát hành với gần trăm ngôn ngữ trên toàn thế giới và được công nhận là cu...",73400,36600,10380.0,33,1580,available
