ID,Country,Total Case,New Case,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Case,Serious,Tot Case,Deaths 1M,Totals Tests,Tests 1M,Population
1,USA,"105,441,949",,"1,147,217",,"102,974,679",,,"2,567","314,935","3,427","1,167,935,950","3,488,404","334,805,269"
2,India,"44,688,693",,"530,775",,"44,154,842",,,N/A,"31,770",377,"919,314,929","653,558","1,406,631,776"
3,France,"39,639,112",,"165,073",,"39,409,374","+3,972","+3,972",869,"604,397","2,517","271,490,188","4,139,547","65,584,518"
4,Germany,"38,231,610",,"168,709",,"37,806,500","+18,300","+18,300",N/A,"455,770","2,011","122,332,384","1,458,359","83,883,596"
5,Brazil,"37,076,053",,"699,276",,"36,249,161",,,N/A,"172,164","3,247","63,776,166","296,146","215,353,593"
6,Japan,"33,288,462","+11,805","72,909",+69,"21,696,252",+538,+538,128,"265,068",581,"95,858,172","763,294","125,584,838"
7,S. Korea,"30,594,297","+12,798","34,061",+12,"30,385,248","+10,626","+10,626",139,"596,033",664,"15,804,065","307,892","51,329,899"
8,Italy,"25,603,510",,"188,322",,"25,267,118",,,137,"424,864","3,125","268,196,399","4,450,449","60,262,770"
9,UK,"24,370,154",,"206,952",,"24,113,546","+3,624","+3,624",N/A,"355,780","3,021","522,526,476","7,628,357","68,497,907"
10,Russia,"22,376,060","+12,320","396,423",+45,"21,717,232","+16,437","+16,437",N/A,"153,465","2,719","273,400,000","1,875,095","145,805,947"
11,Turkey,"17,042,722",,"101,492",,N/A,N/A,N/A,,"199,186","1,186","162,743,369","1,902,052","85,561,976"
12,Spain,"13,770,429",,"119,479",,"13,615,878",,,231,"294,749","2,557","471,036,328","10,082,298","46,719,142"
13,Vietnam,"11,526,994",+8,"43,186",,"10,614,807",+5,+5,3,"116,489",436,"85,826,548","867,342","98,953,541"
14,Australia,"11,385,534",,"19,459",,"11,332,576",,,27,"436,750",746,"78,835,048","3,024,116","26,068,792"
15,Taiwan,"10,134,211","+11,060","18,322",+40,"9,860,561","+16,708","+16,708",,"424,228",767,"30,742,304","1,286,903","23,888,595"
16,Argentina,"10,044,125",,"130,463",,"9,911,673",,,363,"218,302","2,836","35,716,069","776,264","46,010,234"
17,Netherlands,"8,600,120",,"22,992",,"8,561,110",,,53,"499,674","1,336","25,984,435","1,509,718","17,211,447"
18,Iran,"7,571,996",+644,"144,922",+15,"7,339,963",+94,+94,382,"88,023","1,685","55,353,767","643,478","86,022,837"
19,Mexico,"7,475,219",,"333,136",,"6,713,635",,,N/A,"56,819","2,532","19,572,325","148,768","131,562,772"
20,Indonesia,"6,737,606",,"160,934",,"6,573,749",,,N/A,"24,137",577,"114,158,919","408,975","279,134,505"
21,Poland,"6,441,501","+3,907","118,989",+19,"5,335,940",,,696,"170,682","3,153","38,335,838","1,015,794","37,739,785"
22,Colombia,"6,360,089",,"142,629",,"6,183,658",,,342,"123,466","2,769","36,951,507","717,327","51,512,762"
23,Austria,"5,955,860","+6,099","21,949",+2,"5,879,291","+5,088","+5,088",72,"656,893","2,421","211,273,524","23,302,116","9,066,710"
24,Greece,"5,871,458",,"36,185",,"5,822,181","+2,619","+2,619",115,"569,125","3,507","102,228,365","9,909,078","10,316,637"
25,Portugal,"5,568,084",,"26,180",,"5,538,745",,,61,"549,090","2,582","45,994,869","4,535,728","10,140,570"
26,Ukraine,"5,389,439",,"111,235",,"5,270,860","+5,283","+5,283",,"124,778","2,575","32,603,805","754,855","43,192,122"
27,Chile,"5,184,582",,"64,250",,"5,113,905",,,86,"269,326","3,338","48,535,671","2,521,308","19,250,195"
28,Malaysia,"5,044,204",,"36,966",,"4,998,003",,,4,"152,021","1,114","68,268,320","2,057,448","33,181,072"
29,Israel,"4,801,511",,"12,307",,"4,781,252",,,57,"514,852","1,320","41,373,364","4,436,346","9,326,000"
30,DPRK,"4,772,813",,74,,"4,772,739",,,,"183,636",3,,,"25,990,679"
31,Thailand,"4,728,182",,"33,918",,"4,692,636",,,N/A,"67,470",484,"17,270,775","246,450","70,078,203"
32,Belgium,"4,727,795",,"33,775",,"4,664,005",+792,+792,43,"405,184","2,895","36,752,058","3,149,741","11,668,278"
33,Czechia,"4,617,114","+1,152","42,488",+1,"4,565,060",+161,+161,37,"430,028","3,957","57,031,770","5,311,811","10,736,784"
34,Canada,"4,600,615",,"51,447",,"4,510,957",,,99,"119,844","1,340","66,343,123","1,728,207","38,388,419"
35,Peru,"4,486,934",,"219,513",,"4,265,390",+73,+73,31,"133,206","6,517","38,095,743","1,130,967","33,684,208"
36,Switzerland,"4,392,464",,"14,452",,"4,373,995",+969,+969,39,"500,643","1,647","23,833,472","2,716,487","8,773,637"
37,Philippines,"4,077,302",+133,"66,176",+9,"4,002,183",+68,+68,162,"36,240",588,"34,658,901","308,054","112,508,994"
38,South Africa,"4,066,044",,"102,595",,"3,912,506",,,192,"66,924","1,689","26,795,090","441,027","60,756,135"
39,Romania,"3,346,046",,"67,736",,"3,267,395","+4,126","+4,126",119,"175,818","3,559","26,750,616","1,405,609","19,031,335"
40,Denmark,"3,175,738",+83,"8,292",+7,"3,166,536",+62,+62,19,"544,261","1,421","129,206,485","22,143,546","5,834,950"
41,Hong Kong,"2,883,801",+39,"13,466",,"2,863,359",+361,+361,28,"379,233","1,771","76,127,725","10,011,143","7,604,299"
42,Sweden,"2,698,535",,"23,703",,"2,671,958",+65,+65,8,"264,071","2,320","19,477,620","1,906,026","10,218,971"
43,Serbia,"2,498,315",,"17,868",,"2,465,682",,,12,"288,722","2,065","12,450,776","1,438,894","8,653,016"
44,Iraq,"2,465,545",,"25,375",,"2,439,497",,,21,"58,474",602,"19,544,451","463,523","42,164,965"
45,Singapore,"2,230,570",,"1,722",,"2,149,583",,,1,"375,293",290,"24,756,666","4,165,302","5,943,546"
46,New Zealand,"2,228,291",,"3,922",,"2,214,316",,,,"454,920",801,"7,768,604","1,586,011","4,898,203"
47,Hungary,"2,196,804",+878,"48,762",+11,"2,143,788",+604,+604,14,"228,685","5,076","11,394,556","1,186,160","9,606,259"
48,Bangladesh,"2,037,829",,"29,445",,"1,998,448",,,N/A,"12,138",175,"15,254,399","90,862","167,885,689"
49,Slovakia,"1,863,749",+159,"21,031",,"1,841,364",+138,+138,25,"341,334","3,852","7,407,583","1,356,652","5,460,193"
50,Georgia,"1,825,598",,"16,965",,"1,776,548",,,,"459,995","4,275","16,920,079","4,263,340","3,968,738"
51,Jordan,"1,746,997",,"14,122",,"1,731,007",,,59,"169,597","1,371","17,201,885","1,669,945","10,300,869"
52,Ireland,"1,703,850",,"8,691",,"1,692,873",,,9,"339,399","1,731","13,037,474","2,597,003","5,020,199"
53,Pakistan,"1,577,289",+45,"30,644",+1,"1,538,689",,,10,"6,873",134,"30,570,862","133,213","229,488,994"
54,Norway,"1,479,392",,"5,213",,"1,473,421",,,20,"268,425",946,"11,002,430","1,996,315","5,511,370"
55,Finland,"1,462,976",,"8,936",,"1,452,397",+66,+66,21,"263,364","1,609","12,047,792","2,168,835","5,554,960"
56,Kazakhstan,"1,408,124",,"13,846",,"1,383,020",,,24,"73,321",721,"11,575,012","602,707","19,205,043"
57,Slovenia,"1,331,196",+534,"7,077",+1,"1,319,340",+340,+340,4,"640,604","3,406","2,840,362","1,366,851","2,078,034"
58,Lithuania,"1,307,448",+404,"9,596",,"1,291,795",+372,+372,6,"491,206","3,605","10,387,153","3,902,439","2,661,708"
59,Bulgaria,"1,297,358",,"38,222",,"1,256,083",,,26,"189,545","5,584","11,069,682","1,617,288","6,844,597"
60,Morocco,"1,272,490",,"16,296",,"1,256,151",,,3,"33,688",431,"12,992,640","343,969","37,772,756"
61,Croatia,"1,269,326",,"17,987",,"1,250,890",,,5,"312,697","4,431","5,521,987","1,360,335","4,059,286"
62,Guatemala,"1,237,789",,"20,180",,"1,216,584",,,5,"66,605","1,086","6,963,247","374,690","18,584,039"
63,Lebanon,"1,232,517",,"10,840",,"1,087,587",,,74,"184,375","1,622","4,795,578","717,380","6,684,849"
64,Costa Rica,"1,204,164",,"9,230",,"860,711",,,52,"232,358","1,781","4,659,757","899,158","5,182,354"
65,Bolivia,"1,194,069",,"22,365",,"1,159,564",,,220,"99,567","1,865","2,705,422","225,590","11,992,656"
66,Tunisia,"1,151,126",,"29,341",,N/A,N/A,N/A,44,"95,556","2,436","5,003,083","415,309","12,046,656"
67,Cuba,"1,112,631",,"8,530",,"1,104,015",,,2,"98,414",754,"14,321,589","1,266,764","11,305,652"
68,Ecuador,"1,057,121",,"36,014",,"1,020,564",,,759,"58,361","1,988","3,082,403","170,173","18,113,361"
69,UAE,"1,052,926",,"2,349",,"1,035,763",,,,"104,438",233,"199,362,311","19,774,505","10,081,785"
70,Uruguay,"1,034,303",,"7,617",,"1,026,186",,,18,"295,852","2,179","6,114,822","1,749,083","3,496,016"
71,Panama,"1,031,731",,"8,609",,"1,022,524",,,16,"232,008","1,936","7,548,346","1,697,416","4,446,964"
72,Mongolia,"1,007,897",,"2,179",,"1,005,716",,,192,"298,364",645,"4,030,048","1,193,000","3,378,078"
73,Nepal,"1,001,150",+1,"12,020",,"989,126",+2,+2,,"33,123",398,"6,014,634","198,992","30,225,582"
74,Belarus,"994,037",,"7,118",,"985,592",,,,"105,381",755,"13,646,641","1,446,722","9,432,800"
75,Latvia,"976,228",+40,"6,250",,"969,623",+36,+36,13,"528,023","3,381","7,866,206","4,254,678","1,848,837"
76,Saudi Arabia,"830,044",+89,"9,618",,"817,139",+60,+60,42,"23,157",268,"45,171,493","1,260,193","35,844,909"
77,Azerbaijan,"828,783",,"10,135",,"818,418",,,,"80,463",984,"7,534,623","731,502","10,300,205"
78,Paraguay,"808,401",,"19,878",,N/A,N/A,N/A,7,"110,651","2,721","2,657,506","363,751","7,305,843"
79,Bahrain,"709,858",,"1,553",,"706,013",,,3,"397,906",871,"10,746,441","6,023,847","1,783,983"
80,Sri Lanka,"672,036",,"16,830",,"655,202",,,,"31,148",780,"6,486,117","300,619","21,575,842"
81,Kuwait,"663,456",,"2,570",,"660,237",,,,"151,463",587,"8,455,743","1,930,391","4,380,326"
82,Dominican Republic,"660,705",,"4,384",,"644,785",,,4,"59,758",397,"3,740,928","338,350","11,056,370"
83,Cyprus,"650,685",,"1,330",,"644,185",,,60,"531,872","1,087","9,640,118","7,879,860","1,223,387"
84,Myanmar,"633,949",,"19,490",,"614,416",,,,"11,479",353,"10,080,484","182,528","55,227,143"
85,Palestine,"621,008",,"5,404",,"615,445",,,17,"116,173","1,011","3,078,533","575,907","5,345,541"
86,Estonia,"615,423",,"2,946",,"524,990",,,5,"465,556","2,229","3,679,061","2,783,140","1,321,910"
87,Moldova,"607,450",,"11,988",,"504,142",,,49,"151,364","2,987","3,216,305","801,437","4,013,171"
88,Venezuela,"552,157",,"5,854",,"545,924",,,36,"18,866",200,"3,359,014","114,771","29,266,991"
89,Egypt,"515,698",,"24,613",,"442,182",,,122,"4,858",232,"3,693,367","34,792","106,156,692"
90,Libya,"507,187",,"6,437",,"500,737",,,,"72,036",914,"2,483,812","352,777","7,040,745"
91,China,"503,302",,"5,272",,"379,053",,,N/A,347,4,"160,000,000","110,461","1,448,471,400"
92,Ethiopia,"500,085",,"7,572",,"487,343",,,1,"4,139",63,"5,495,411","45,487","120,812,698"
93,Qatar,"494,982",+114,688,,"493,791",+62,+62,38,"166,106",231,"4,065,369","1,364,257","2,979,915"
94,Réunion,"486,588",,921,,"418,572",,,10,"535,854","1,014","1,603,660","1,766,027","908,061"
95,Honduras,"472,250",,"11,111",,N/A,N/A,N/A,105,"46,203","1,087","1,635,967","160,056","10,221,247"
96,Armenia,"446,819",,"8,721",,"435,162",,,,"150,345","2,934","3,242,901","1,091,164","2,971,966"
97,Bosnia and Herzegovina,"401,636",,"16,279",,"379,084",,,,"123,606","5,010","1,884,721","580,036","3,249,317"
98,Oman,"399,449",,"4,628",,"384,669",,,2,"75,028",869,"25,000,000","4,695,724","5,323,993"
99,North Macedonia,"346,852",,"9,662",,"337,068",,,,"166,651","4,642","2,226,216","1,069,626","2,081,304"
100,Zambia,"343,135",,"4,057",,"338,854",,,,"17,624",208,"3,943,335","202,531","19,470,234"
101,Kenya,"342,932",,"5,688",,"337,220",,,1,"6,100",101,"3,967,062","70,569","56,215,221"
102,Albania,"334,427",,"3,597",,"329,169",,,,"116,672","1,255","1,941,032","677,173","2,866,374"
